Date,ADS,ALV,BAS,BAYN,BEI,BMW,CON,DAI,DBK,LHA,DTE,FRE,FME,HEI,HEN3,LIN,MRK,MUV2,RWE,SAP,SIE,TKA,VOW3
,Consumer Discretionary,Financials,Materials,Healthcare,Consumer Staples,Consumer Discretionary,Consumer Discretionary,Consumer Discretionary,Financials,Consumer Discretionary,Communications,Healthcare,Healthcare,Materials,Consumer Staples,Materials,Healthcare,Financials,Utilities,Technology,"Industrial, electronics",Industrials,VOW3
2003-01-10,13.3006048202515,46.0549278259277,7.74586725234985,12.7627973556519,20.3076725006103,14.5152397155762,11.0367059707642,15.1038999557495,19.3298358917236,5.800368309021,5.21027421951294,4.30000019073486,8.75597476959229,24.7758102416992,12.7661638259888,18.1599540710449,7.65590763092041,59.3161697387695,12.8938140869141,17.1197319030762,24.4321327209473,6.59069061279297,16.2125854492188
2003-01-13,13.3178672790527,46.1490135192871,7.78181409835815,12.5869607925415,20.2325305938721,14.719051361084,10.922721862793,15.2460126876831,19.6592597961426,5.68508815765381,5.37797021865845,4.35110998153687,9.09719944000244,25.0471725463867,12.6462631225586,17.9996356964111,7.85006475448608,59.4067306518555,12.9232606887817,16.7293224334717,24.9000873565674,6.73567342758179,16.3312683105469
2003-01-14,13.4490575790405,46.8619651794434,7.89389276504517,12.708212852478,20.3596954345703,14.574893951416,10.9369401931763,15.2257089614868,20.0232772827148,5.77609920501709,5.56126594543457,4.43777990341187,9.28178310394287,24.7201690673828,12.5831604003906,18.0048351287842,7.73360538482666,59.4218254089356,13.3257427215576,16.8260116577148,25.2871265411377,6.79004096984863,16.4084014892578
2003-01-15,13.3385782241821,46.2381286621094,7.75855398178101,12.514199256897,20.3847846984863,14.1026554107666,11.043851852417,14.7486343383789,19.6220207214355,5.78823280334473,5.42086982727051,4.63332986831665,9.54356098175049,25.3116016387939,12.6778173446655,18.3150730133057,7.69748973846436,58.2093276977539,13.3895654678345,16.5560073852539,24.9924926757812,6.9773120880127,16.1710319519043
2003-01-16,13.3662004470825,46.0895919799805,7.89811992645264,12.5506105422974,20.230619430542,14.1821880340576,10.9939699172974,14.9973211288452,19.665641784668,5.95811748504639,5.4481692314148,4.80888986587524,9.8504695892334,25.0124168395996,12.9113054275513,18.6512031555176,7.9055643081665,57.3188438415527,13.4140872955322,16.2805290222168,24.1317119598389,7.10417318344116,16.7941207885742
2003-01-17,12.9122037887573,43.6932678222656,7.61264562606812,11.907886505127,20.230619430542,13.7745666503906,10.6092100143433,14.393367767334,18.4839534759521,5.76396417617798,5.12447643280029,4.45666980743408,9.48136615753174,24.3513946533203,11.6113395690918,17.9996356964111,7.68362903594971,55.5881576538086,12.9527101516724,15.54714012146,22.5949668884277,6.72359228134155,16.4084014892578
2003-01-20,13.1953029632568,41.9554443359375,7.56400966644287,11.7260112762451,20.3269786834717,14.0628862380981,10.616358757019,14.2106599807739,18.2266807556152,5.60621309280396,5.0152792930603,4.55556011199951,9.06713199615479,24.5253410339355,12.4506378173828,18.1341304779053,7.73912477493286,54.3706436157227,13.2373971939087,15.3245668411255,22.5198421478271,6.79608392715454,16.4796237945557
2003-01-21,13.1297054290771,41.831657409668,7.41809940338135,11.356162071228,20.3866882324219,14.1921253204346,10.6092100143433,14.0127248764038,17.9040012359619,5.64261817932129,5.10497713088989,4.44443988800049,9.20664978027344,23.4886817932129,12.2108392715454,18.0307102203369,7.40901327133179,53.4549865722656,13.1294021606445,15.291729927063,22.7567100524902,6.80816459655762,16.1947345733643
2003-01-22,12.931191444397,40.6978759765625,7.24892902374268,10.8104763031006,20.1824703216553,13.8242778778076,10.3669519424438,13.8350925445557,17.4374485015869,5.4605975151062,5.03087711334229,4.55556011199951,9.27534580230713,22.9738616943359,11.6618242263794,17.296422958374,7.42011165618897,51.8098335266113,12.8496360778809,15.479640007019,22.1385250091553,6.54236316680908,15.6665658950806
2003-01-23,12.7654714584351,40.5691375732422,7.36100387573242,11.0409021377563,19.7952060699463,13.1730794906616,10.2671890258789,13.6523857116699,17.616247177124,5.27250909805298,4.95288038253784,4.44443988800049,9.33541202545166,22.2293720245361,11.7375507354736,17.0637664794922,7.51719188690186,51.7897109985352,12.6532974243164,16.0287685394287,23.2188816070557,6.48195314407349,15.2215032577515
2003-01-24,12.6170148849487,39.2373046875,7.09244871139526,10.4406251907349,19.2672386169434,13.0189790725708,10.2600412368774,13.5153532028198,16.8967380523682,5.0601544380188,4.82808446884155,4.51110982894897,9.32253456115723,21.0952987670898,11.5671644210815,16.5104751586914,7.70858907699585,49.9382858276367,12.4668035507202,15.3756465911865,22.0637855529785,6.33697032928467,14.8951272964478
2003-01-27,12.3356418609619,37.0291175842285,6.73719024658203,9.99197673797607,18.8722820281982,13.0786285400391,10.0819568634033,13.215913772583,16.478178024292,4.98734569549561,4.74228525161743,4.45777988433838,9.28822040557861,20.8030529022217,11.0623254776001,15.9417066574097,7.50890731811523,46.5775375366211,12.2851886749268,15.2972059249878,21.0913505554199,6.14365911483765,14.8951272964478
2003-01-28,12.3977861404419,36.8954391479492,6.87252712249756,10.0283269882202,18.9782314300537,13.1730794906616,10.0035581588745,13.423999786377,16.6132984161377,5.07228755950928,4.73838520050049,4.53332996368408,9.24315357208252,19.6202716827393,10.9739780426025,15.7503604888916,7.25367498397827,45.5864181518555,12.4962539672852,15.5799798965454,21.227746963501,6.13761758804321,15.0494480133057
2003-01-29,12.8742265701294,37.2667694091797,7.10513496398926,9.94348812103272,18.8780651092529,13.5707540512085,10.1246910095215,13.8807697296143,17.2717361450195,5.06622076034546,4.67988729476929,4.41110992431641,9.19377136230469,18.8549728393555,11.0244617462158,15.6572885513306,7.39239120483398,46.185115814209,12.5404262542725,15.2515954971313,22.2696876525879,6.09533262252808,15.8505640029907
2003-01-30,12.9536323547363,36.1428756713867,7.02055215835571,9.87072658538818,18.8433799743652,13.2725009918213,9.96082496643066,14.0990037918091,17.044994354248,5.27250909805298,4.50049114227295,4.43333005905151,9.12082862854004,18.7853813171387,11.2895030975342,15.7141313552856,7.39515066146851,44.4192085266113,12.4177074432373,15.6930856704712,22.3899593353271,6.08929014205933,15.7259654998779
2003-01-31,12.9657163619995,36.5835227966309,7.29968214035034,9.93738842010498,19.2903575897217,13.3570051193237,10.3312892913818,14.454270362854,17.2150897979736,5.26037549972534,4.57848978042603,4.28444004058838,9.14014053344727,19.8081645965576,12.9113054275513,15.6520910263062,7.73912477493286,44.7764167785645,12.5796766281128,15.6274108886719,22.9309101104736,6.22219181060791,16.9128017425537
2003-02-03,13.2142934799194,36.6379852294922,7.31659746170044,9.82217788696289,19.4137096405029,13.7447414398193,10.7517080307007,14.9414968490601,17.0319118499756,5.38172292709351,4.56679105758667,4.26999998092651,9.31397247314453,20.3299999237061,11.7564811706543,15.6520910263062,7.73636484146118,44.8720092773438,12.5306282043457,16.0488357543945,22.5942802429199,6.28864192962647,17.0018253326416
2003-02-04,12.8742265701294,34.4595108032227,7.0734167098999,9.4462890625,19.0649394989014,13.3072986602783,10.6519460678101,14.3172369003296,16.2688503265381,5.15723085403442,4.34059524536133,4.19999980926514,8.8804235458374,19.2724590301514,11.4788179397583,16.1846981048584,7.5865478515625,41.6068496704102,12.0986928939819,15.5781545639038,21.4342288970947,6.1557412147522,15.9633359909058
2003-02-05,12.910475730896,35.8953285217285,7.3314003944397,9.62212753295898,19.1709423065186,13.7000026702881,10.8942070007324,14.8196878433228,17.1627712249756,5.19970178604126,4.67208766937256,4.37110996246338,9.20233249664307,19.3837471008301,11.7501707077026,16.1743545532227,7.62818670272827,43.2670974731445,12.123218536377,15.7806549072266,22.419979095459,6.36717462539673,16.722900390625
2003-02-06,12.9277381896973,34.6575584411621,7.06284475326538,9.25831604003906,19.671854019165,13.3371200561523,10.3455829620361,14.3172369003296,17.02321434021,5.09049034118652,4.55508995056152,4.32556009292603,9.22164821624756,19.1680297851563,11.5229930877686,16.0812854766846,7.53662967681885,40.9377136230469,11.4998731613159,15.5927486419678,21.6386127471924,6.28260087966919,16.4380741119385
2003-02-07,12.3649854660034,33.5683174133301,6.97825765609741,9.14310359954834,19.6256141662598,12.86985206604,10.1033239364624,13.8147897720337,16.3865661621094,4.99947929382324,4.50049114227295,4.41110992431641,8.97274780273438,18.5766754150391,11.3021249771118,15.5073137283325,7.43397283554077,39.4183387756348,10.9845190048218,15.4887619018555,20.9353408813477,5.93222427368164,15.7377920150757
2003-02-10,12.169924736023,32.5533447265625,7.09244871139526,9.2158670425415,19.5370025634766,12.7008390426636,10.2671890258789,13.9061460494995,16.5043411254883,4.92667198181152,4.55508995056152,4.27222013473511,8.89761352539063,18.5070877075195,11.4977493286133,15.4918279647827,7.42011165618897,37.6977157592773,11.0434160232544,15.3847732543945,21.0615615844727,5.95034790039063,15.9573669433594
2003-02-11,12.169924736023,33.399974822998,7.18549203872681,9.60998916625977,19.8452568054199,12.8947057723999,10.4096870422363,14.1700553894043,16.9447345733643,5.01161479949951,4.71888589859009,4.29778003692627,8.70234203338623,18.806266784668,11.4788179397583,15.2487764358521,7.62818670272827,39.7453536987305,11.2250347137451,15.8463354110718,21.2899513244629,6.04096269607544,16.4558601379395
2003-02-12,12.042181968689,32.7513847351074,6.95711183547974,9.28259181976318,19.5659008026123,12.6710109710693,9.91094493865967,13.7082118988037,16.6089782714844,4.93880701065064,4.78518438339233,4.23222017288208,8.48769378662109,18.2635459899902,11.4788179397583,15.2539730072021,7.51719188690186,39.9063529968262,10.7833032608032,15.7551164627075,20.6227779388428,5.98659467697144,15.5657329559326
